Date,삼성전자,LG전자,카카오,NAVER,CJ,한화,현대자동차,기아자동차
2019-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-03,-0.029677419354838697,0.0015923566878981443,0.004901960784313708,0.03389830508474567,0.02155172413793105,-0.03387096774193543,0.021929824561403466,0.0015243902439023849
2019-01-04,-0.003989361702127714,-0.011128775834658211,0.009756097560975618,0.028688524590164022,0.00843881856540074,-0.0016694490818029983,0.025751072961373467,0.060882800608828
2019-01-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-07,0.03471295060080104,0.03215434083601276,-0.004830917874396157,0.047808764940239,0.004184100418409997,0.03344481605351168,0.008368200836819994,-0.0186513629842181
2019-01-08,-0.01677419354838705,-0.03582554517133951,-0.030097087378640808,-0.011406844106463865,-0.008333333333333304,-0.027508090614886682,-0.008298755186721962,-0.011695906432748537
2019-01-09,0.03937007874015741,0.02100161550888524,0.021021021021021102,0.023076923076922995,0.012605042016806678,0.03660565723793674,0.029288702928870203,0.029585798816567976
2019-01-10,0.005050505050504972,0.03797468354430378,-0.009803921568627416,-0.015037593984962405,-0.020746887966805017,-0.027287319422150902,0.0,-0.014367816091954033
2019-01-11,0.017587939698492372,0.0060975609756097615,0.00990099009900991,0.0,0.008474576271186418,0.0264026402640265,0.0,-0.010204081632653073
2019-01-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-14,-0.011111111111111072,-0.0015151515151514694,-0.019607843137254943,-0.03053435114503822,-0.004201680672268893,0.016077170418006492,-0.012195121951219523,-0.004418262150220897
2019-01-15,0.02621722846441954,-0.0015174506828528056,-0.0010000000000000009,0.04330708661417315,-0.00421940928270037,0.02215189873417711,0.04938271604938271,0.022189349112426093
2019-01-16,0.008515815085158085,0.010638297872340496,0.0010010010010010895,0.0,-0.004237288135593209,0.007739938080495445,0.007843137254901933,0.00868306801736618
2019-01-17,0.012062726176115701,-0.006015037593984918,-0.015000000000000013,0.026415094339622636,0.008510638297872353,0.030721966205837115,0.0077821011673151474,0.0028694404591105283
2019-01-18,0.008343265792610355,0.013615733736762392,0.01116751269035543,0.011029411764705843,-0.00421940928270037,0.0014903129657228842,0.01158301158301156,0.024320457796852546
2019-01-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-21,0.010638297872340496,-0.008955223880596996,-0.008032128514056214,-0.047272727272727244,0.004237288135593209,-0.008928571428571397,-0.03053435114503822,-0.012569832402234637
2019-01-22,-0.01403508771929829,-0.028614457831325324,0.03238866396761142,-0.007633587786259555,-0.00421940928270037,-0.0015015015015015232,0.003937007874015741,0.014144271570014189
2019-01-23,-0.003558718861209953,0.010852713178294504,0.004901960784313708,0.019230769230769162,0.008474576271186418,0.03007518796992481,0.0117647058823529,0.019525801952580135
2019-01-24,0.02499999999999991,0.0,-0.004878048780487809,-0.02264150943396226,0.0,0.0014598540145984717,0.007751937984496138,0.002735978112175186
2019-01-25,0.03948896631823451,0.06595092024539873,0.004901960784313708,0.0038610038610038533,0.012605042016806678,-0.013119533527696792,-0.011538461538461497,-0.024556616643929052
2019-01-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-28,0.006703910614525244,-0.025899280575539585,-0.004878048780487809,0.01538461538461533,0.004149377593360981,0.007385524372230501,-0.015564202334630295,-0.025174825174825166
2019-01-29,0.009988901220865598,-0.004431314623338234,0.0,0.030303030303030276,-0.008264462809917328,-0.0029325513196480912,0.011857707509881354,0.0028694404591105283
2019-01-30,0.01978021978021971,0.0029673590504450953,-0.020588235294117685,0.0,-0.02083333333333337,0.004411764705882337,0.01171875,0.03433476394849788
2019-01-31,-0.0053879310344827624,-0.014792899408283988,-0.006006006006005982,0.0,0.025531914893617058,0.029282576866764165,0.0,0.0055325034578146415
2019-02-01,0.004333694474539573,-0.018018018018018056,0.0030211480362538623,-0.018382352941176516,-0.004149377593360981,-0.03271692745376953,0.0,-0.01375515818431916
2019-02-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-07,-0.003236245954692518,0.007645259938837912,-0.0060240963855421326,-0.0337078651685393,0.03333333333333344,0.0014705882352941124,-0.027027027027026973,0.0069735006973501434
2019-02-08,-0.030303030303030276,-0.01669195751138086,-0.008080808080808133,-0.023255813953488413,-0.024193548387096753,-0.02496328928046987,-0.003968253968253954,0.008310249307479145
2019-02-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-11,0.0044642857142858094,0.06944444444444442,-0.02647657841140527,-0.003968253968253954,0.02892561983471076,0.004518072289156683,0.015936254980079667,0.016483516483516425
